Date,Day,Week,Month,Campaign Name,Time,Segment,Affinity Definition,TG/CG,Affinity,Retailer,Brief,Theme,Lever,Message A,Message B,A/B,Campaign Type,Sent,Read,Read %,Clicks,CTR,Conversions,Conversion %,Push Datetime,Time Sort,Time Label,Date Label,Row Count
2026-03-16,Mon,Week 3,March,tgcomm_16_mar_vs_pn_tgcg_all_all_d2c_sale_beauty_rest_r_2152_r_mCaffeine_9pm,21:00:00,All,Rest - Beauty Affinity - Travel - Home,,,mCaffeine,,Curiosity,D2C Sale,"This is too hot to miss! 🤯

Buy 1 Get 1 FREE + 6 Freebies + Flat 18% Cashback on mCaffeine 🤩 

CTA: Grab now!
","This is too hot to miss! 🤯

Buy 1 Get 1 FREE + 6 Freebies + Flat 18% Cashback on mCaffeine 🤩 

CTA: Grab now!
",Yes,Stylised,429407,169509,0.3947513664192712,533,0.0031443758148534885,1,0.001876172607879925,2026-03-16 21:00:00,1900-01-01 21:00:00,09:00 PM,16-Mar,1
2026-03-16,Mon,Week 3,March,tgcomm_16_mar_vs_pn_tgcg_all_all_marketplace_sale_all_r_1073_r_ajio_1030pm,22:30:00,All,,,,Ajio,,Social Proof,Marketplace sale,"🚫 Phir mat kehna bataya nahi!
Ajio Red Hot Sale is ON! Get 50-90% Off + up to 10% Cashback 👗👕
CTA: Grab Now!","🚫 Phir mat kehna bataya nahi!
Ajio Red Hot Sale is ON! Get 50-90% Off + up to 10% Cashback 👗👕
CTA: Grab Now!",Yes,Stylised,563380,243962,0.4330327665163833,1404,0.005754994630311278,295,0.2101139601139601,2026-03-16 22:30:00,1900-01-01 22:30:00,10:30 PM,16-Mar,1
2026-03-17,Tue,Week 3,March,tgcomm_17_mar_vs_pn_tgcg_all_all_d2c_sale_all_r_1503_r_dotandkey30am,11:30:00,All,,,,Dot and Key,Coolest Skincare Sale: Buy 1 Get 1 Free + Upto 15% CashKaro Cashback on all Dot And Key orders,Loss Aversion,D2C Sale,"Suno, itni tezz dhoop mein ☀️
Sunscreen lagana mat bhoolna! Grab Buy 1 Get 1 Free + Up to 15% Cashback on all Dot And Key

CTA: Grab Now!",,Yes,Stylised,563905,243245,0.43135811883207276,842,0.003461530555612654,200,0.2375296912114014,2026-03-17 11:30:00,1900-01-01 11:30:00,11:30 AM,17-Mar,1
2026-03-17,Tue,Week 3,March,tgcomm_17_mar_vs_pn_tgcg_non_segmented_all_d2c_sale_all_r_1503_r_dotandkey30am,11:30:00,Non Segmented,,,,Dot and Key,Coolest Skincare Sale: Buy 1 Get 1 Free + Upto 15% CashKaro Cashback on all Dot And Key orders,Loss Aversion,D2C Sale,"Suno, itni tezz dhoop mein ☀️
Sunscreen lagana mat bhoolna! Grab Buy 1 Get 1 Free + Up to 15% Cashback on all Dot And Key

CTA: Grab Now!",,Yes,Stylised,98178,32689,0.33295646682556174,212,0.006485362048395484,84,0.39622641509433965,2026-03-17 11:30:00,1900-01-01 11:30:00,11:30 AM,17-Mar,1
2026-03-17,Tue,Week 3,March,tgcomm_17_mar_vs_pn_tgcg_entertainment_storevisitors_all_focus_brand_all_r_1503_r_timesprime,14:00:00,All,Users who have visited enterntainement stores in the last 6 months and have not exited.,,Entertainment - Store visitors,Times Prime,"Get premium subscriptions like Hotstar, Sony liv & more.",FOMO,Focus Brand,"❌ Don’t open this...

if you don’t watch OTT 👀

CTA: Open anyway",,Yes,Stylised,15094,8338,0.552404929110905,57,0.006836171743823459,2,0.03508771929824561,2026-03-17 14:00:00,1900-01-01 14:00:00,02:00 PM,17-Mar,1
2026-03-17,Tue,Week 3,March,tgcomm_17_mar_vs_pn_tgcg_entertainment_exiters_all_focus_brand_all_r_1503_r_timesprime,14:00:00,All,Users who have exited enterntainement stores in the last 6 months and have not transacted.,,Entertainment - Exiters,Times Prime,"Get premium subscriptions like Hotstar, Sony liv & more.",FOMO,Focus Brand,"Left something behind? 😏

Hotstar, SonyLIV & more waiting for you!

CTA: Grab Times Prime",,Yes,Stylised,26054,14392,0.5523911875335841,95,0.00660088938299055,2,0.021052631578947368,2026-03-17 14:00:00,1900-01-01 14:00:00,02:00 PM,17-Mar,1
2026-03-17,Tue,Week 3,March,tgcomm_17_mar_vs_pn_tgcg_entertainment_transactors_all_focus_brand_all_r_1503_r_timesprime,14:00:00,All,Users who have transacted on entertainment category and have not transacted on the particular retailer.,,Entertainment - Transacters,Times Prime,"Get premium subscriptions like Hotstar, Sony liv & more.",FOMO,Focus Brand,"Still thinking about it? 👀

Your OTT combo is here

CTA: Grab Times Prime!
",,Yes,Stylised,5917,3052,0.5158019266520196,27,0.008846657929226736,2,0.07407407407407407,2026-03-17 14:00:00,1900-01-01 14:00:00,02:00 PM,17-Mar,1
2026-03-17,Tue,Week 3,March,tgcomm_17_mar_vs_pn_tgcg_beauty_storevisitors_all_d2c_sale_all_r_2134_r_mamaearth,14:00:00,All,Users who have visited beauty retailer in the last 6 months and have not exited.,,Beauty - Store visitors,Mamaearth,OH My Goodness Sale: Buy 1 Get 1 Free + Flat 12% CashKaro Cashback on all Mamaearth Orders,Social Proof,D2C Sale,"This is selling out fast 👀
Get Buy 1 Get 1 Free + flat 12% Cashback on all Mamaearth orders.

CTA: Shop now!",,Yes,Stylised,39618,22781,0.5750164066838306,139,0.006101575874632369,2,0.014388489208633094,2026-03-17 14:00:00,1900-01-01 14:00:00,02:00 PM,17-Mar,1
2026-03-17,Tue,Week 3,March,tgcomm_17_mar_vs_pn_tgcg_beauty_exiters_all_d2c_sale_all_r_2134_r_mamaearth,14:00:00,All,Users who have exited on beuaty retailers in the 6 months and have not transacted.,,Beauty - Exiters non transactors,Mamaearth,OH My Goodness Sale: Buy 1 Get 1 Free + Flat 12% CashKaro Cashback on all Mamaearth Orders,Social Proof,D2C Sale,"This is selling out fast 👀
Get Buy 1 Get 1 Free + flat 12% Cashback on all Mamaearth orders.

CTA: Shop now!",,Yes,Stylised,35729,20682,0.5788575107055893,120,0.005802146794313896,6,0.05,2026-03-17 14:00:00,1900-01-01 14:00:00,02:00 PM,17-Mar,1
2026-03-17,Tue,Week 3,March,tgcomm_17_mar_vs_pn_tgcg_beauty_transators_all_d2c_sale_all_r_2134_r_mamaearth,14:00:00,All,Users who have transacted on beuaty retailers in the last 6 months and have not transacted in the last 30 days on the retailer,,Beauty - Transactors,Mamaearth,OH My Goodness Sale: Buy 1 Get 1 Free + Flat 12% CashKaro Cashback on all Mamaearth Orders,Social Proof,D2C Sale,"This is selling out fast 👀
Get Buy 1 Get 1 Free + flat 12% Cashback on all Mamaearth orders.

CTA: Shop now!",,Yes,Stylised,16507,7850,0.4755558248015993,42,0.00535031847133758,8,0.19047619047619047,2026-03-17 14:00:00,1900-01-01 14:00:00,02:00 PM,17-Mar,1
